index,domain,soundness,presentation,contribution,overall,confidence,type,reviewer
adaptive_memory_multimodal,multimodal,2,2.5,3,2,5,aug,Junior
multistage_fusion,multimodal,2,1,1,1,3,aug,Junior
probabilistic_multimodal_reasoning,multimodal,2.5,2,2,3,4,aug,Junior
self_supervised_multimodal,multimodal,2.5,2.5,2,4,5,aug,Junior
semantic_inconsistancy_resolution,multimodal,2.5,2,3,3,5,aug,Junior
temporal_multimodal,multimodal,2.5,2.5,2,4,2,aug,Junior
cross_modal_attention,multimodal,3,2.5,1,2,5,origin,Junior
dynamic_alignment,multimodal,3,2.5,1,2,5,origin,Junior
multi_modal_ensemble,multimodal,2,2.5,2,3,3,origin,Junior
adaptive_memory_multimodal,multimodal,2,3,3,7,4,aug,Junior
multistage_fusion,multimodal,2,3,1,3,2,aug,Junior
probabilistic_multimodal_reasoning,multimodal,3,3,2,6,3,aug,Junior
self_supervised_multimodal,multimodal,3,3,2,7,3,aug,Junior
semantic_inconsistancy_resolution,multimodal,3,3,3,7,3,aug,Junior
temporal_multimodal,multimodal,3,3,2,6,2,aug,Junior
cross_modal_attention,multimodal,3,2,1,4,3,origin,Junior
dynamic_alignment,multimodal,3,2,1,4,3,origin,Junior
multi_modal_ensemble,multimodal,2,3,2,5,4,origin,Junior
adaptive_memory_multimodal,multimodal,2,3,3,5,4,aug,Senior
multistage_fusion,multimodal,2,2,2,3,4,aug,Senior
probabilistic_multimodal_reasoning,multimodal,3,3,3,6,3,aug,Senior
self_supervised_multimodal,multimodal,3,3,2,5,4,aug,Senior
semantic_inconsistancy_resolution,multimodal,3,3,3,6,4,aug,Senior
temporal_multimodal,multimodal,2,3,3,5,4,aug,Senior
cross_modal_attention,multimodal,3,2,1,4,4,origin,Senior
dynamic_alignment,multimodal,3,2,1,4,4,origin,Senior
multi_modal_ensemble,multimodal,2,3,2,5,4,origin,Senior
adaptive_memory_multimodal,multimodal,2,3,3,7,4,aug,Senior
multistage_fusion,multimodal,2,2,1,5,3,aug,Senior
probabilistic_multimodal_reasoning,multimodal,3,2,2,6,3,aug,Senior
self_supervised_multimodal,multimodal,3,3,2,7,3,aug,Senior
semantic_inconsistancy_resolution,multimodal,3,3,3,8,3,aug,Senior
temporal_multimodal,multimodal,3,2,3,6,3,aug,Senior
cross_modal_attention,multimodal,3,3,3,7,2,origin,Senior
dynamic_alignment,multimodal,2,2,3,6,2,origin,Senior
multi_modal_ensemble,multimodal,3,3,3,7,3,origin,Senior
adaptive_reasoning_strategies,reasoning,2,3,4,5,4,aug,Senior
adaptive_reasoning,reasoning,1,2,3,4,3,aug,Senior
analogical_reasoning,reasoning,1,1,2,2,4,origin,Senior
collaborative_reasoning,reasoning,3,3,3,4,4,aug,Senior
recursive_reasoning_refinement,reasoning,3,3,3,5,4,aug,Senior
self_explaining_reasoning,reasoning,1,3,1,1,3,aug,Senior
dynamic_reasoning_paths,reasoning,4,2,4,6,4,aug,Senior
hierarchical_reasoning,reasoning,3,3,3,5,4,origin,Senior
syntax_semantic_alignment,reasoning,1,2,1,1,5,origin,Senior
uncertainty_aware_reasoning,reasoning,4,3,4,6,4,aug,Senior
adaptive_reasoning_strategies,reasoning,4,3,3,8,3,aug,Senior
adaptive_reasoning,reasoning,3,3,3,7,3,aug,Senior
analogical_reasoning,reasoning,3,4,3,8,3,origin,Senior
collaborative_reasoning,reasoning,3,4,3,8,3,aug,Senior
recursive_reasoning_refinement,reasoning,2,3,2,6,4,aug,Senior
self_explaining_reasoning,reasoning,4,3,3,8,4,aug,Senior
dynamic_reasoning_paths,reasoning,4,4,4,9,4,aug,Senior
hierarchical_reasoning,reasoning,3,3,4,8,3,origin,Senior
syntax_semantic_alignment,reasoning,3,3,3,7,3,origin,Senior
uncertainty_aware_reasoning,reasoning,4,4,4,9,3,aug,Senior
adaptive_reasoning_strategies,reasoning,3,2,2,5,4,aug,Junior
adaptive_reasoning,reasoning,2,2,2,4,4,aug,Junior
analogical_reasoning,reasoning,1,1,2,1,4,origin,Junior
collaborative_reasoning,reasoning,2,1,2,2,4,aug,Junior
recursive_reasoning_refinement,reasoning,3,2,2,5,4,aug,Junior
self_explaining_reasoning,reasoning,3,2,2,5,4,aug,Junior
dynamic_reasoning_paths,reasoning,2,2,3,5,4,aug,Junior
hierarchical_reasoning,reasoning,3,2,3,6,4,origin,Junior
syntax_semantic_alignment,reasoning,2,2,2,5,4,origin,Junior
uncertainty_aware_reasoning,reasoning,2,2,2,5,4,aug,Junior
adaptive_reasoning_strategies,reasoning,2,2,2,4,5,aug,Superior
adaptive_reasoning,reasoning,1,2,2,2,4,aug,Superior
analogical_reasoning,reasoning,1,1,2,1,5,origin,Superior
collaborative_reasoning,reasoning,2,2,2,4,4,aug,Superior
recursive_reasoning_refinement,reasoning,3,3,2,4,4,aug,Superior
self_explaining_reasoning,reasoning,1,3,1,1,5,aug,Superior
dynamic_reasoning_paths,reasoning,2,3,3,5,4,aug,Superior
hierarchical_reasoning,reasoning,2,3,2,4,4,origin,Superior
syntax_semantic_alignment,reasoning,1,1,1,1,5,origin,Superior
uncertainty_aware_reasoning,reasoning,3,3,3,4,4,aug,Superior
cadam,long_context,1,1,1,1,5,origin,Senior
context_aware_param_adapt,long_context,3,2,3,4,3,aug,Senior
crossdoc_attention,long_context,3,2,2,4,3,aug,Senior
hierarchical_memory_llm,long_context,3,2,2,5,4,aug,Senior
kgaug_llm,long_context,2,2,2,3,4,aug,Senior
multi_granular_attention,long_context,3,2,3,4,4,aug,Senior
contextual_bridges,long_context,1,1,1,1,1,origin,Senior
persistent_memory_transformer,long_context,2,2,2,4,5,origin,Senior
redundancy_aware_transformer,long_context,2,2,2,4,4,origin,Senior
structural_markers,long_context,2,2,3,4,4,origin,Senior
cadam,long_context,1,1,1,1,5,origin,Senior
context_aware_param_adapt,long_context,3,2,3,5,3,aug,Senior
crossdoc_attention,long_context,3,2,3,5,3,aug,Senior
hierarchical_memory_llm,long_context,2,2,2,4,4,aug,Senior
kgaug_llm,long_context,1,2,1,2,4,aug,Senior
multi_granular_attention,long_context,3,2,2,4,4,aug,Senior
contextual_bridges,long_context,1,1,1,1,5,origin,Senior
persistent_memory_transformer,long_context,3,2,2,3,4,origin,Senior
redundancy_aware_transformer,long_context,3,1,2,5,4,origin,Senior
structural_markers,long_context,3,2,1,3,3,origin,Superior
cadam,long_context,2,3,3,3,4,origin,Superior
context_aware_param_adapt,long_context,3,2,2,4,4,aug,Superior
crossdoc_attention,long_context,3,3,3,5,4,aug,Superior
hierarchical_memory_llm,long_context,3,2,2,3,4,aug,Superior
kgaug_llm,long_context,3,3,3,6,4,aug,Superior
multi_granular_attention,long_context,3,3,3,5,4,aug,Superior
contextual_bridges,long_context,1,1,1,1,5,origin,Superior
persistent_memory_transformer,long_context,3,2,2,3,4,origin,Superior
redundancy_aware_transformer,long_context,2,1,2,2,4,origin,Superior
structural_markers,long_context,3,2,2,2,4,origin,Superior
cadam,long_context,1,1,1,3,5,origin,Senior
context_aware_param_adapt,long_context,3,1,1,3,4,aug,Senior
crossdoc_attention,long_context,1,1,2,4,4,aug,Senior
hierarchical_memory_llm,long_context,3,1,1,1,5,aug,Senior
kgaug_llm,long_context,2,2,2,4,4,aug,Senior
multi_granular_attention,long_context,1,2,2,4,4,aug,Senior
contextual_bridges,long_context,1,1,1,1,5,origin,Senior
persistent_memory_transformer,long_context,2,1,1,2,4,origin,Senior
redundancy_aware_transformer,long_context,2,1,2,2,4,origin,Senior
structural_markers,long_context,1,2,1,2,4,origin,Senior
adaptive_agent_coordination,agent,2,2,3,5,4,aug,Senior
adaptive_evolution_framework,agent,1,2,2,4,4,aug,Senior
dynamic_adaptive_agents,agent,1,1,1,1,4,aug,Senior
explainable_agents,agent,3,3,3,3,4,aug,Senior
human_ai_cocreation,agent,2,3,3,3,4,aug,Senior
resource_efficient_agents,agent,3,3,3,5,4,aug,Senior
social_dynamics_framework,agent,3,3,3,4,4,aug,Senior
spatial_awareness_agents,agent,3,3,3,5,4,aug,Senior
efficient_comm_protocol,agent,3,3,3,5,4,origin,Senior
episodic_memory,agent,3,3,3,4,5,aug,Senior
hierarchical_communication,agent,3,3,3,3,4,origin,Senior
reinforcement_communication,agent,3,3,3,5,4,origin,Senior
temporal_coherence_loss,agent,3,3,3,5,4,origin,Senior
adaptive_agent_coordination,agent,2,2,3,5,4,aug,Senior
adaptive_evolution_framework,agent,1,2,2,4,5,aug,Senior
dynamic_adaptive_agents,agent,1,1,1,1,5,aug,Senior
explainable_agents,agent,3,2,2,3,4,aug,Senior
human_ai_cocreation,agent,2,3,3,4,3,aug,Senior
resource_efficient_agents,agent,3,3,3,5,4,aug,Senior
social_dynamics_framework,agent,3,2,2,3,5,aug,Senior
spatial_awareness_agents,agent,2,3,3,5,4,aug,Senior
efficient_comm_protocol,agent,3,4,3,5,4,origin,Senior
episodic_memory,agent,3,3,3,4,5,aug,Senior
hierarchical_communication,agent,1,3,2,3,4,origin,Senior
reinforcement_communication,agent,3,4,3,6,4,origin,Senior
temporal_coherence_loss,agent,3,4,3,6,4,origin,Senior
adaptive_agent_coordination,agent,3,2,2,5,3,aug,Junior
adaptive_evolution_framework,agent,3,2,3,7,4,aug,Junior
dynamic_adaptive_agents,agent,2,2,2,5,3,aug,Junior
explainable_agents,agent,3,3,3,6,4,aug,Junior
human_ai_cocreation,agent,3,2,2,4,2,aug,Junior
resource_efficient_agents,agent,2,2,2,4,2,aug,Junior
social_dynamics_framework,agent,3,3,3,6,3,aug,Junior
spatial_awareness_agents,agent,3,2,2,5,3,aug,Junior
efficient_comm_protocol,agent,2,2,1,4,3,origin,Junior
episodic_memory,agent,3,3,3,7,4,aug,Junior
hierarchical_communication,agent,3,2,3,6,4,origin,Junior
reinforcement_communication,agent,2,2,2,5,3,origin,Junior
temporal_coherence_loss,agent,3,2,3,7,4,origin,Junior
adaptive_agent_coordination,agent,3,2,2,5,3,aug,Senior
adaptive_evolution_framework,agent,3,2,3,7,3,aug,Senior
dynamic_adaptive_agents,agent,2,2,2,5,3,aug,Senior
explainable_agents,agent,3,3,3,7,3,aug,Senior
human_ai_cocreation,agent,3,2,3,6,2,aug,Senior
resource_efficient_agents,agent,2,3,2,6,2,aug,Senior
social_dynamics_framework,agent,3,2,2,4,3,aug,Senior
spatial_awareness_agents,agent,4,3,3,7,3,aug,Senior
efficient_comm_protocol,agent,3,2,2,5,2,origin,Senior
episodic_memory,agent,3,3,3,6,3,aug,Senior
hierarchical_communication,agent,2,3,2,6,3,origin,Senior
reinforcement_communication,agent,2,2,2,4,2,origin,Senior
temporal_coherence_loss,agent,2,2,3,4,2,origin,Senior
adaptive_block_size,agent,1,1,1,1,5,origin,Senior
adaptive_block_size,agent,1,1,1,1,5,origin,Senior
adaptive_block_size,agent,1,1,1,1,5,origin,Senior
attention_viz,agent,1,1,1,1,4,origin,Senior
attention_viz,agent,1,1,1,1,3,origin,Senior
attention_viz,agent,1,1,1,1,5,origin,Senior
layerwise_learning_rates,agent,1,1,1,1,5,origin,Senior
layerwise_learning_rates,agent,1,1,1,1,5,origin,Senior
layerwise_learning_rates,agent,1,1,1,1,5,origin,Senior
meta_learning,agent,1,1,2,2,4,origin,Senior
meta_learning,agent,1,2,1,2,4,origin,Senior
meta_learning,agent,1,1,1,1,5,origin,Senior
parameter_sharing,agent,1,1,1,1,5,origin,Senior
parameter_sharing,agent,1,1,1,1,5,origin,Senior
parameter_sharing,agent,1,1,1,1,4,origin,Senior
emotional_intelligence_agents,agent,2,2,2,3,5,aug,Senior
emotional_intelligence_agents,agent,2,2,2,3,4,aug,Senior
emotional_intelligence_agents,agent,3,3,3,3,4,aug,Senior
robust_secure_agents,agent,2,2,2,2,4,aug,Senior
robust_secure_agents,agent,2,2,2,2,4,aug,Senior
robust_secure_agents,agent,2,2,2,3,5,aug,Senior
curriculum_learning,reasoning,1,1,1,1,5,origin,Senior
curriculum_learning,reasoning,2,1,2,2,4,origin,Senior
curriculum_learning,reasoning,1,1,1,1,4,origin,Senior
episodic_memory_transformer,reasoning,1,1,1,1,4,origin,Senior
episodic_memory_transformer,reasoning,0,1,0,1,5,origin,Senior
episodic_memory_transformer,reasoning,1,1,0,1,5,origin,Senior
memory_augmented_transformer,reasoning,1,1,0,1,5,origin,Senior
memory_augmented_transformer,reasoning,2,1,0,1,5,origin,Senior
memory_augmented_transformer,reasoning,1,1,1,1,4,origin,Senior
meta_learning_transformer,reasoning,1,1,1,1,4,origin,Senior
meta_learning_transformer,reasoning,1,1,1,1,4,origin,Senior
meta_learning_transformer,reasoning,1,1,1,1,4,origin,Senior
structured_knowledge_integration,reasoning,1,2,1,2,4,origin,Senior
structured_knowledge_integration,reasoning,2,2,2,3,4,origin,Senior
structured_knowledge_integration,reasoning,1,2,1,2,4,origin,Senior
temporal_reasoning,reasoning,3,1,1,3,4,origin,Senior
temporal_reasoning,reasoning,3,2,2,2,4,origin,Senior
temporal_reasoning,reasoning,3,1,1,2,4,origin,Senior
knowledge_integrated_reasoning,reasoning,1,2,1,2,4,aug,Senior
knowledge_integrated_reasoning,reasoning,2,2,2,3,4,aug,Senior
knowledge_integrated_reasoning,reasoning,1,2,1,3,4,aug,Senior
memory_augmented_reasoning,reasoning,1,2,1,2,3,aug,Senior
memory_augmented_reasoning,reasoning,2,2,2,3,4,aug,Senior
memory_augmented_reasoning,reasoning,1,2,1,2,4,aug,Senior
temporal_reasoning_adaptation,reasoning,3,3,1,3,3,aug,Senior
temporal_reasoning_adaptation,reasoning,3,3,3,3,4,aug,Senior
temporal_reasoning_adaptation,reasoning,3,3,1,2,4,aug,Senior
adaptive_block_size,long_context,3,3,3,3,3,origin,Senior
adaptive_block_size,long_context,2,3,2,3,2,origin,Senior
adaptive_block_size,long_context,2,2,2,4,5,origin,Senior
hierarchical_attention,long_context,2,2,2,3,4,origin,Senior
hierarchical_attention,long_context,2,1,2,2,4,origin,Senior
hierarchical_attention,long_context,2,2,2,3,5,origin,Senior
knowledge_graph_integrated_transformer,long_context,1,1,1,2,4,origin,Senior
knowledge_graph_integrated_transformer,long_context,2,1,2,2,4,origin,Senior
knowledge_graph_integrated_transformer,long_context,1,1,1,1,4,origin,Senior
layerwise_learning_rates,long_context,2,2,1,2,4,origin,Senior
layerwise_learning_rates,long_context,2,2,2,2,4,origin,Senior
layerwise_learning_rates,long_context,2,2,1,2,5,origin,Senior
multi_resolution_transformer,long_context,2,3,1,3,4,origin,Senior
multi_resolution_transformer,long_context,2,3,2,3,2,origin,Senior
multi_resolution_transformer,long_context,2,3,1,3,4,origin,Senior
topic_aware_transformer,long_context,1,3,2,3,4,origin,Senior
topic_aware_transformer,long_context,1,3,2,3,4,origin,Senior
topic_aware_transformer,long_context,1,3,2,3,4,origin,Senior
gnn_transformer_hybrid,long_context,3,3,3,3,3,aug,Senior
gnn_transformer_hybrid,long_context,2,2,2,2,4,aug,Senior
gnn_transformer_hybrid,long_context,2,1,2,2,3,aug,Senior
multimodal_long_context,long_context,3,3,3,4,4,aug,Senior
multimodal_long_context,long_context,3,3,3,2,5,aug,Senior
multimodal_long_context,long_context,3,3,3,3,4,aug,Senior
visual_text_attention,long_context,3,2,1,2,4,aug,Senior
visual_text_attention,long_context,3,2,2,3,4,aug,Senior
visual_text_attention,long_context,3,2,1,3,4,aug,Senior
commonsense_multimodal,multimodal,3,3,3,3,3,aug,Senior
commonsense_multimodal,multimodal,2,2,2,2,4,aug,Senior
commonsense_multimodal,multimodal,3,2,2,3,4,aug,Senior
dynamic_attention_fusion,multimodal,2,2,1,2,3,aug,Senior
dynamic_attention_fusion,multimodal,2,1,2,2,4,aug,Senior
dynamic_attention_fusion,multimodal,2,2,1,2,4,aug,Senior
meta_multimodal_adaptation,multimodal,2,3,3,3,3,aug,Senior
meta_multimodal_adaptation,multimodal,3,3,3,3,4,aug,Senior
meta_multimodal_adaptation,multimodal,3,3,3,4,4,aug,Senior
personalized_multimodal_model,multimodal,2,2,1,2,3,origin,Senior
personalized_multimodal_model,multimodal,2,2,2,3,4,origin,Senior
personalized_multimodal_model,multimodal,2,2,2,2,4,origin,Senior
adaptive_block_size,multimodal,1,1,1,1,5,origin,Senior
adaptive_block_size,multimodal,1,1,1,1,5,origin,Senior
adaptive_block_size,multimodal,1,1,1,1,5,origin,Senior
adversarial_training,multimodal,1,1,1,1,3,origin,Senior
adversarial_training,multimodal,1,1,1,1,4,origin,Senior
adversarial_training,multimodal,1,1,1,1,4,origin,Senior
graph_attention_contextualization,multimodal,1,1,1,2,3,origin,Senior
graph_attention_contextualization,multimodal,2,1,2,2,4,origin,Senior
graph_attention_contextualization,multimodal,1,1,1,1,4,origin,Senior
layerwise_learning_rates,multimodal,1,1,1,1,5,origin,Senior
layerwise_learning_rates,multimodal,1,1,1,1,5,origin,Senior
layerwise_learning_rates,multimodal,1,1,1,1,5,origin,Senior
reinforcement_tuning,multimodal,1,1,2,2,3,origin,Senior
reinforcement_tuning,multimodal,1,1,2,2,4,origin,Senior
reinforcement_tuning,multimodal,1,1,1,1,4,origin,Senior
self_supervised_pretraining,multimodal,1,1,1,1,3,origin,Senior
self_supervised_pretraining,multimodal,1,1,1,1,4,origin,Senior
self_supervised_pretraining,multimodal,1,1,1,1,4,origin,Senior
temporal_attention,multimodal,3,3,3,3,3,origin,Senior
temporal_attention,multimodal,2,3,2,2,4,origin,Senior
temporal_attention,multimodal,2,3,3,3,4,origin,Senior